title,url,category
"
                                Sony PlayStation 5 Standard 1 TB  (Official warranty 2 Year IBS)                            ",https://2b.com.eg/en/ps5-standard-edition-cfi-1016a01-mee-ibs-warranty.html,Gaming
"
                                Sony Media Remote CFI-ZMR1BX - IBS Warranty                            ",https://2b.com.eg/en/media-remote-cfi-zmr1bx-ibs-warranty-711719801320.html,Gaming
"
                                PlayStation 5 Dual Sense - Red - (IBS Warranty)                            ",https://2b.com.eg/en/playstation-5-dual-sense-red.html,Gaming
"
                                Sony Original Game Pad Dual Sense PlayStation 5 - White                            ",https://2b.com.eg/en/sony-original-game-pad-dual-sense-ps5.html,Gaming
"
                                Sony Dual Sense Charging Station CFI-ZDS1E - IBS Warranty                            ",https://2b.com.eg/en/dual-sense-charging-station-cfi-zds1e-ibs-warranty-711719374107.html,Gaming
"
                                Sony Dual Sense PlayStation 5 CFI-ZCT1W MEA - White - IBS Warranty                            ",https://2b.com.eg/en/sony-original-game-pad-dual-sense-ps5-1.html,Gaming
"
                                Assassins Creed Valhalla CD Game For PlayStation 4                            ",https://2b.com.eg/en/cd-assassins-creed-valhalla.html,Gaming
"
                                Spider Man Miles Morales CD Game For PlayStation 5                            ",https://2b.com.eg/en/cd-spider-man-miles-morales.html,Gaming
"
                                Uncharted 4 - A Thief's End CD Game For PlayStation 4                            ",https://2b.com.eg/en/uncharted-4-a-thief-s-end-cd-game-for-playstation-4.html,Gaming
"
                                Crash Bandicoot CD Game For Playstation 4                            ",https://2b.com.eg/en/crash-bandicoot-cd-game-for-playstation-4.html,Gaming
"
                                Ghost of Tsushima CD Game For PlayStation 4                            ",https://2b.com.eg/en/ghost-of-tsushima-cd-game-for-playstation-4.html,Gaming
"
                                Marvel's Avengers CD Game For PlayStation 4                            ",https://2b.com.eg/en/marvel-s-avengers-cd-game-for-playstation-4.html,Gaming
"
                                For Honor CD Game For PlayStation 4                            ",https://2b.com.eg/en/for-honor-cd-game-for-playstation-4.html,Gaming
"
                                Cyberpunk 2077 CD Game For PlayStation 4                            ",https://2b.com.eg/en/cyberpunk-2077-cd-game-for-playstation-4.html,Gaming
"
                                CD Watch Dogs Legion For PlayStation 4                            ",https://2b.com.eg/en/cd-watch-dogs-legion-for-playstation-4.html,Gaming
"
                                CD Demon's Souls For PlayStation 5                            ",https://2b.com.eg/en/cd-demon-s-souls-for-playstation-5.html,Gaming
"
                                CD Sackboy For PlayStation 5                            ",https://2b.com.eg/en/cd-cd-sackboy-for-playstation-5.html,Gaming
"
                                Injustice 2 CD Game For PlayStation 4                            ",https://2b.com.eg/en/injustice-2-cd-game-for-playstation-4.html,Gaming
"
                                VR World CD Game For PlayStation 4                            ",https://2b.com.eg/en/vr-world-cd-game-for-playstation-4.html,Gaming
"
                                Crash Team Racing Nitro-Fueled - Activision CD Game For PlayStation 4 - Arabic Edition                            ",https://2b.com.eg/en/crash-team-racing-nitro-fueled-cd-game-for-playstation-4-arabic-edition-activision.html,Gaming
"
                                NBA20 CD Game For PlayStation 4                            ",https://2b.com.eg/en/nba20-cd-game-for-playstation-4.html,Gaming
"
                                Assassin's Creed Origin For PlayStation 4                            ",https://2b.com.eg/en/assassin-s-creed-origin-for-playstation-4.html,Gaming
"
                                The Last Of Us Part 2 CD Game For PlayStation 4                            ",https://2b.com.eg/en/the-last-of-us-part-2-cd-game-for-playstation-4.html,Gaming
"
                                The Sims 4 CD Game For PlayStation 4                            ",https://2b.com.eg/en/the-sims-4-cd-game-for-playstation-4.html,Gaming
